id,total_price,shipping_price,cart,,,,payment_method,order_datetime,delivery_datetime,,vip_flag,admin_short,fulfilled,order_source,subtotal_price,total_discounts,is_delivery,is_gift,has_custom,is_post,transport,edited,is_corporate,promo_code
8536,1710,210,"{""heart-set&redvelvet,ganache.pinkgold"":0,""custom"":[{""title"":""1 sweetheart red color"",""price"":490,""quantity"":0,""id"":""u20mie06kk""},{""title"":""RED SWEETHEART SMALL chocolate ganache"",""price"":490,""quantity"":1,""id"":""kbqig95u38j""},{""title"":""2 ค้อน"",""price"":60,""quantity"":1,""id"":""tileapxtdn""}],""heart-set&ganache,redvelvet.pinkgold"":1}",,,,qr,2021-01-25 10:29:22.290506+00,2021-01-30 09:00:00+00,,no,Gyan,t,line,1500,,t,f,f,f,car,f,f,
9571,1200,250,"{""heart-set&redvelvet,ganache.pinkgold"":1}",,,,qr,2021-02-06 14:57:53.515401+00,2021-01-22 05:00:00+00,,no,unkwn,t,,,,f,f,f,f,,f,f,
6083,450,0,"{""hella"":1,""redvelvet"":1,""deathchoc"":1}",,,,qr,2020-11-28 12:13:51.345845+00,2020-11-26 04:00:00+00,,no,unkwn,t,,,,f,f,f,f,unkwn,f,f,
6094,424,64,"{""brownie"":[{""quantity"":1,""count"":9,""title"":""Box of 9 brownie"",""FUDGE BROWNIE BITES"":3,""BAE BROWNIE"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""id"":""b7jv77r7rf"",""price"":360}]}",,,,qr,2020-11-28 12:18:30.261158+00,2020-11-26 11:00:00+00,,no,unkwn,t,,,,t,f,f,f,unkwn,f,f,
5574,700,250,"{""hella"":1,""pbj"":1,""cupc"":1}",,,,qr,2020-11-04 01:39:51.500251+00,2020-11-05 02:00:00+00,,no,unkwn,t,,,,t,f,f,f,unkwn,f,f,
9983,577,87,"{""heart-S&ganache.pink"":1}",,,,qr,2021-02-11 08:42:48.965889+00,2021-02-13 13:00:00+00,,no,Kung,t,line,490,,t,f,f,f,bike,f,f,
10066,426,76,"{""cupccake-1lb"":1}",,,,qr,2021-02-12 12:00:55.053203+00,2021-02-13 04:00:00+00,,no,Fa,t,line,750,400,t,f,t,f,bike,f,f,
8351,1178,228,"{""heart-set&redvelvet,ganache.pinkgold"":1}",,,,qr,2021-01-22 07:38:46.821767+00,2021-01-26 11:00:00+00,,no,Ja,t,ig,950,,t,f,t,f,car,f,f,
9984,2990,190,"{""heart-set&redvelvet,ganache.pinkgold"":1,""custom"":[{""title"":""Rose bouquet pink"",""price"":1950,""quantity"":1,""id"":""x0ybw6zcb9""}]}",,,,qr,2021-02-11 08:43:46.672371+00,2021-02-13 09:00:00+00,,no,Amy,t,line,2900,100,t,f,f,f,car,f,f,
9573,2389,239,"{""custom"":[{""title"":""1 lb coconut*lady in pink*"",""price"":1800,""quantity"":1,""id"":""p6kbep670l""}],""strawcheese"":1,""deathchoc"":1}",,,,qr,2021-02-06 14:58:46.727327+00,2021-01-22 08:00:00+00,,no,unkwn,t,,,,f,f,f,f,,f,f,
8585,950,0,"{""heart-set&redvelvet,ganache.pinkgold"":1}",,,,qr,2021-01-26 10:32:18.312952+00,2021-02-10 09:00:00+00,,no,Gyan,t,line,950,,f,f,f,f,car,f,f,
10067,1738,88,"{""coconut-1lb#dearest"":1}",,,,qr,2021-02-12 12:12:36.687498+00,2021-02-13 12:30:00+00,,no,Amy,t,line,1650,,t,f,f,f,bike,f,f,
8586,2101,151,"{""heart-L&redvelvet.pink"":1}",,,,qr,2021-01-26 11:49:02.951849+00,2021-01-28 10:00:00+00,,free,Kung,t,line,1950,,t,f,f,f,car,f,f,
9574,1522,272,"{""heart-M&redvelvet.pink"":1}",,,,qr,2021-02-06 14:59:03.487535+00,2021-01-22 09:00:00+00,,no,unkwn,t,,,,f,f,f,f,,f,f,
10068,601,81,"{""heart-S&ganache.gold"":1}",,,,qr,2021-02-12 12:30:17.922102+00,2021-02-14 09:00:00+00,,no,Kung,t,line,490,,t,f,t,f,bike,t,f,
9985,520,0,"{""heart-S&ganache.gold"":1}",,,,qr,2021-02-11 08:52:42.171018+00,2021-02-14 06:00:00+00,,no,Kung,t,ig,490,,f,f,t,f,bike,f,f,
10069,543,53,"{""heart-S&ganache.gold"":1}",,,,qr,2021-02-12 12:41:38.008895+00,2021-02-13 05:00:00+00,,no,Fa,t,line,490,,t,f,f,f,bike,t,f,
9986,1200,250,"{""heart-set&redvelvet,ganache.pinkgold"":1}",,,,qr,2021-02-11 09:16:16.924626+00,2021-02-14 09:00:00+00,,no,Kung,t,ig,950,,t,f,f,f,car,f,f,
8587,550,60,"{""heart-S&ganache.gold"":1}",,,,qr,2021-01-26 12:22:26.710644+00,2021-02-14 02:30:00+00,,no,Ja,t,ig,490,,t,f,f,f,bike,f,f,
